"hour","x","y","twitter","instagram"
4,136,68,0,1
4,136,70,1,2
4,137,48,0,1
4,137,70,0,1
4,137,72,1,0
4,137,76,0,1
4,137,84,0,1
4,138,67,0,4
4,138,79,0,40
4,139,63,0,1
4,139,66,0,1
4,140,67,0,1
4,140,70,0,2
4,140,78,0,3
4,141,69,1,0
4,141,70,0,2
4,141,72,0,1
4,142,69,0,1
4,142,74,0,1
4,143,75,1,0
4,143,79,0,2
4,144,81,0,1
4,146,62,1,1
4,146,64,0,1
4,146,88,0,2
4,148,87,1,1
4,148,88,0,1
4,148,94,0,1
4,149,74,0,1
4,149,75,0,1
4,150,67,0,1
4,150,78,0,2
4,150,79,0,1
4,150,84,0,1
4,150,85,0,1
4,151,76,0,1
4,152,70,0,1
4,154,38,3,0
4,155,71,0,1
4,155,75,0,1
4,155,76,0,1
4,156,78,0,1
4,158,75,0,1
4,166,86,0,1
4,174,65,1,1
4,208,105,0,1
5,94,112,0,1
5,114,76,0,1
5,116,72,2,0
5,120,74,0,1
5,121,69,0,1
5,124,74,0,2
5,125,79,0,1
5,125,81,0,1
5,126,70,0,1
5,129,60,0,3
5,129,68,0,1
5,129,69,0,1
5,130,53,0,1
5,130,77,0,1
5,131,73,0,1
5,131,76,0,1
5,131,78,0,1
5,132,73,0,1
5,133,103,0,1
5,134,61,0,1
5,134,64,0,1
5,134,87,0,1
5,135,77,1,0
5,136,72,1,0
5,136,74,0,1
5,137,66,0,1
5,137,70,0,1
5,137,71,0,2
5,137,79,0,1
5,137,84,1,0
5,138,79,1,41
5,139,70,0,2
5,140,67,0,1
5,140,68,0,1
5,140,69,1,0
5,140,78,0,2
5,141,69,1,0
5,141,72,0,1
5,142,56,0,6
5,142,63,0,1
5,142,69,0,2
5,143,79,0,2
5,143,83,0,1
5,144,74,0,1
5,144,79,0,1
5,144,81,0,1
5,145,66,0,1
5,146,67,0,1
5,146,69,0,1
5,148,87,1,1
5,149,74,0,2
5,149,77,0,1
5,150,68,0,1
5,150,79,0,4
5,151,73,1,0
5,151,76,0,1
5,151,77,0,3
5,151,80,0,2
5,152,59,1,0
5,152,65,0,1
5,152,70,0,1
5,152,88,0,1
5,154,38,2,0
5,155,70,1,0
5,155,71,0,4
5,155,76,0,1
5,156,78,0,3
5,158,74,0,1
6,112,77,0,1
6,114,61,0,1
6,116,72,1,0
6,119,80,0,1
6,119,85,0,1
6,121,79,0,1
6,122,78,0,3
6,124,36,0,1
6,125,79,0,1
6,125,81,0,1
6,130,60,0,1
6,130,68,0,3
6,130,77,0,1
6,131,73,1,1
6,133,56,0,1
6,133,80,0,1
6,133,98,1,0
6,135,95,1,0
6,136,74,0,1
6,137,76,0,1
6,137,83,0,1
6,138,67,0,3
6,138,69,0,1
6,138,72,0,1
6,138,79,1,18
6,140,70,7,1
6,140,84,0,2
6,141,69,1,0
6,141,70,0,1
6,142,69,0,1
6,143,79,0,1
6,147,80,0,1
6,148,87,1,1
6,148,88,0,1
6,149,74,0,2
6,150,68,0,1
6,150,78,1,3
6,150,93,0,1
6,151,76,1,0
6,151,77,0,1
6,151,100,0,1
6,152,75,0,1
6,156,77,0,1
6,161,65,0,1
6,188,66,0,1
6,188,67,0,1
6,190,114,0,1
7,72,121,0,1
7,99,83,0,1
7,103,89,0,1
7,107,57,1,1
7,107,58,0,1
7,107,78,0,1
7,109,72,0,1
7,109,73,0,1
7,113,76,0,1
7,114,114,0,1
7,116,37,1,0
7,116,72,3,0
7,118,55,0,1
7,118,87,0,1
7,118,103,0,1
7,120,78,0,1
7,122,80,0,1
7,123,71,0,1
7,124,74,0,1
7,125,81,0,1
7,126,58,0,1
7,126,83,0,1
7,126,108,0,1
7,128,81,0,2
7,128,88,0,1
7,129,60,0,1
7,129,83,0,1
7,131,71,0,1
7,131,72,0,1
7,131,73,4,3
7,131,76,0,1
7,132,66,0,1
7,132,73,0,1
7,132,74,0,1
7,134,80,0,1
7,135,69,0,1
7,135,76,1,1
7,136,74,0,1
7,137,70,0,1
7,137,78,0,2
7,138,60,0,1
7,138,67,0,1
7,138,68,0,1
7,138,79,3,54
7,141,59,0,1
7,141,70,0,2
7,142,69,0,1
7,143,75,0,1
7,143,80,0,1
7,144,70,0,1
7,146,92,0,1
7,147,66,2,0
7,147,74,2,0
7,147,93,0,1
7,148,87,1,0
7,148,88,0,1
7,148,94,0,2
7,149,83,0,1
7,150,78,0,1
7,151,73,0,1
7,151,79,0,1
7,151,91,0,1
7,152,76,0,1
7,153,89,0,1
7,154,38,2,0
7,155,71,0,1
7,157,83,0,1
7,158,72,0,1
7,158,75,0,1
7,162,82,0,1
7,162,111,0,1
7,164,73,0,1
7,168,74,0,1
7,172,81,0,1
7,179,97,0,1
7,191,113,1,1
8,100,90,0,1
8,101,112,0,1
8,102,89,0,1
8,105,78,0,2
8,105,79,0,5
8,107,57,0,6
8,107,58,0,1
8,109,77,0,1
8,109,83,0,1
8,113,74,0,1
8,113,82,0,1
8,114,61,0,1
8,114,76,0,2
8,116,37,1,0
8,116,72,1,0
8,117,79,0,1
8,117,80,0,2
8,117,84,0,1
8,118,55,0,1
8,118,71,1,0
8,118,78,0,1
8,119,97,0,1
8,120,69,0,1
8,120,70,0,1
8,120,78,0,1
8,120,80,0,1
8,120,84,0,1
8,121,83,1,1
8,121,93,0,1
8,121,94,0,1
8,121,96,0,1
8,122,47,0,1
8,122,79,0,1
8,122,83,0,1
8,122,88,1,0
8,123,71,0,1
8,124,74,0,1
8,125,79,0,1
8,125,85,1,0
8,126,34,1,0
8,126,72,0,1
8,126,87,0,1
8,126,120,0,2
8,128,64,1,1
8,128,88,0,2
8,129,60,0,1
8,129,80,1,0
8,130,60,0,1
8,130,64,0,1
8,130,76,1,1
8,130,81,0,1
8,131,72,0,2
8,131,73,7,9
8,131,81,0,1
8,132,73,1,3
8,133,57,0,1
8,133,59,0,1
8,133,78,0,1
8,133,79,0,1
8,133,85,0,1
8,134,51,1,0
8,134,64,0,1
8,134,66,0,2
8,134,72,0,2
8,134,95,0,1
8,135,67,0,1
8,135,68,0,1
8,135,75,0,1
8,135,76,0,1
8,135,81,0,1
8,136,50,0,1
8,136,56,0,1
8,136,68,0,1
8,136,70,1,3
8,136,77,0,1
8,137,45,0,2
8,137,63,0,1
8,137,64,0,1
8,137,65,0,2
8,137,70,0,1
8,137,129,0,1
8,138,39,1,1
8,138,67,0,2
8,138,71,0,1
8,138,72,0,2
8,138,79,2,90
8,139,77,0,1
8,139,78,0,1
8,140,69,1,0
8,140,70,1,2
8,141,65,0,1
8,141,67,1,1
8,141,68,0,1
8,141,69,1,1
8,141,70,0,4
8,141,78,0,2
8,141,82,0,1
8,142,66,0,1
8,142,69,0,1
8,142,78,0,2
8,142,82,0,1
8,142,86,0,1
8,143,79,0,17
8,144,60,0,1
8,144,65,0,1
8,144,74,0,1
8,144,85,0,1
8,145,83,0,1
8,145,84,0,1
8,145,85,0,1
8,145,89,0,1
8,146,67,0,1
8,146,82,0,2
8,147,64,0,1
8,147,68,0,1
8,147,80,0,1
8,148,55,0,1
8,148,72,0,1
8,148,83,0,1
8,148,86,0,1
8,148,87,1,0
8,148,94,0,1
8,149,74,0,3
8,149,77,0,1
8,149,84,0,1
8,150,78,0,7
8,150,80,0,1
8,150,85,0,2
8,150,89,0,1
8,150,113,0,1
8,151,73,0,1
8,151,77,0,2
8,152,66,0,1
8,153,72,0,1
8,153,73,0,1
8,153,74,0,1
8,153,88,0,1
8,154,38,2,0
8,154,70,0,1
8,154,73,0,4
8,154,89,0,1
8,155,71,0,5
8,155,79,0,1
8,155,81,0,1
8,156,78,0,1
8,158,70,0,1
8,163,72,0,1
8,163,91,0,1
8,168,102,0,1
8,177,55,1,1
8,179,47,0,1
8,180,58,0,1
8,182,61,0,1
8,187,62,0,2
8,208,105,0,1
9,74,119,0,1
9,78,76,0,1
9,79,86,0,1
9,81,71,0,1
9,99,112,0,1
9,101,95,0,1
9,102,12,0,1
9,104,101,0,1
9,105,79,0,2
9,107,57,1,3
9,107,75,0,1
9,109,72,0,1
9,109,78,0,1
9,110,82,0,1
